title,platform,provider,skills,rating,review_count,url,description,difficulty,duration,language
Build a Machine Learning Web App with Streamlit and Python,Coursera,Coursera Project Network,Skills: Logistic Regression  web  Python Programming  Machine Learning  Scikit-Learn  interactivity  Computer Programming  web application  Pandas  Web Development data-science machine-learning,4.7,,https://www.coursera.org/learn/machine-learning-streamlit-python,"Welcome to this hands-on project on building your first machine learning web app with the Streamlit library in Python. By the end of this project, you are going to be comfortable with using Python and Streamlit to build beautiful and interactive ML web apps with zero web development experience! We are going to load, explore, visualize and interact with data, and generate dashboards in less than 100 lines of Python code! Our web application will allows users to choose what classification algorith",Beginner,,English
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Coursera,Hebrew University of Jerusalem,"Skills: Computational Logic, Computer Architecture, Computer Programming, Hardware Design, Theoretical Computer Science, Computer Programming Tools, Critical Thinking, Problem Solving, Systems Design",4.9,4.9(3.5K reviews),,,,,English
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Coursera,Hebrew University of Jerusalem,Skills: Computer Architecture  Operating Systems  language  compiler construction  memory  architecture  compiler  virtual machine  Computer Programming  assembly languages computer-science software-development,4.9,,https://www.coursera.org/learn/nand2tetris2,"In this project-centered course you will build a modern software hierarchy, designed to enable the translation and execution of object-based, high-level languages on a bare-bone computer hardware platform. In particular, you will implement a virtual machine and a compiler for a simple, Java-like programming language, and you will develop a basic operating system that closes gaps between the high-level language and the underlying hardware platform. In the process, you will gain a deep, hands-on u",Advanced,,English
Build a Persistent Storage App in Android Studio,Coursera,Coursera Project Network,Skills: i-deas  radio button  android studio  text box  telephone number  persistence (computer science)  exit (system call)  persistence  Software Engineering  Android Development computer-science mobile-and-web-development,4.4,,https://www.coursera.org/learn/build-persistent-storage-app-android-studio,"In this course you will build an Android app with persistent storage (specifically Shared Preferences) in Android Studio.  What is meant by persistent storage is that when a user exits an app and then restart it, the app will remember some information that the user gave it previously.  This app has four input boxes where the user is being asked to enter a name, address, phone number, and email address. Beneath that section the user will be asked to use radio buttons to indicate the part of the d",Beginner,,English
Build a Python GUI with Tkinter,Coursera,Coursera Project Network,Skills: Python Programming  event (computing)  c++  graphical model  yottabyte  graphical user interface  interfaces  command-line interface  tkinter  java annotation computer-science software-development,4.5,,https://www.coursera.org/learn/build-a-python-gui-with-tkinter,"A graphical user interface can be a nice alternative to using the command line for running programs, as there is no need to memorize how to execute a command with arguments. A label may be added to describe what is needed for the application, for example. There are many choices for building a graphical user interface in Python. Some of them require licensing for commercial use and each have their own sets of learning curves. Using Tkinter avoids the licensing issues and is quite simple to use as",Beginner,,English
Build a Relative Layout App in Android Studio,Coursera,Coursera Project Network,Skills: exit (system call)  Java Programming  display devices  text box  Android Development  user interface  android studio  Computer Programming  Javascript  java (software platform) computer-science mobile-and-web-development,4.5,,https://www.coursera.org/learn/build-relative-layout-app-android-studio,"In this course you will build an Android app with a Relative Layout in Android Studio with the java programming language and will be given an explanation of Relative layout.  This app has a piece of text asking the user to ""Tell me more about yourself"". Beneath this is three pieces of text with input boxes next to them.  The pieces of text say Name, Date of Birth, and Time of birth.   While you update the name input just by typing text you will be presented with a date picker dialog and a time p",Beginner,,English
Build a Simple App in Android Studio with Java,Coursera,Coursera Project Network,Skills: Java Programming  java (software platform)  Mobile Development  software  Python Programming  Software Engineering  Android Development  project  Computer Programming  android studio computer-science mobile-and-web-development,4.4,,https://www.coursera.org/learn/build-app-android-studio-java,"In this beginner project we will give you an introduction to using Android Studio and will facilitate you gaining the confidence and knowledge to begin your journey in the world of Android Development.  By the end of this course you will have built an app in Android Studio using Java and will have uploaded your APK to Appetize. You will learn how to test your app on the Appetize platform. In this app you will build buttons, a TextView, an EditText, and dialog boxes.  We will also cover using AVD",Beginner,,English
Build a Table Layout App in Android Studio,Coursera,Coursera Project Network,Skills: android studio  upload  matching  java (software platform)  Java Programming  Android Development  drop-down list  Software Engineering  text box  Computer Programming computer-science mobile-and-web-development,4.5,,https://www.coursera.org/learn/build-table-layout-app-android-studio,In this course you will build an Android app with a Table Layout in Android Studio with the java programming language and will be given an explanation of table layout.  This app will have a piece of text asking the user to select their month of birth from a spinner (a type of drop down menu where the user selects from a set of options). There will be an image (ImageView) next to the spinner which will change to match whichever month the user selects. Beneath this the user will be asked to use a ,Beginner,,English
Build a Twitter Clone Backend,Coursera,Coursera Project Network,Skills: mongodb  modeling  php  euler's totient function  project  brand-new  front and back ends  web  cloning  application programming interfaces computer-science mobile-and-web-development,4.2,,https://www.coursera.org/learn/twitter-clone-backend,"In this 1-hour 30-minute long project-based course, you will learn how to set up a Node project and your development environment, create a basic express server and routes, set up a MongoDB Database and Mongoose models, and implement Twitter functionality (CRUDs).   By the end of this project, you will create a fully functioning backend server for a Twitter clone with Node, express and MongoDB. You will have enough knowledge to start working on any backend projects comfortably.   This project wil",Beginner,,English
Build a film club web app on Google AppEngine,Coursera,Coursera Project Network,Skills: Python Programming  flask  unix shells  web application  Operating Systems  django (web framework)  web  web service  film  ordered pair computer-science software-development,4.6,,https://www.coursera.org/learn/build-a-film-club-web-app-with-google-appengine,"In this 3-hour long project-based course, you will learn how to develop a basic web app on Google AppEngine and deploy it online on Google's infrastructure by creating and setting up your environment, managing user authentication with Firebase, creating and managing database entities with Firestore in Datastore mode.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,,English
