title,platform,provider,skills,rating,review_count,url,description,difficulty,duration,language
Build a mobile app with Google Sheets on Glide and no coding,Coursera,Coursera Project Network,Skills: Accounting  blogging  mobile app  page layout  Data Structures  project  dynamic web page  Digital Marketing  personalization  entry point computer-science software-development,4.5,,https://www.coursera.org/learn/build-a-mobile-app-with-google-sheets-on-glide-and-no-coding,"In this 2-hour long project-based course, you will learn how to create a mobile app from a Google Sheet using Glide, a web application built by former Microsoft engineers to simplify app development. You will learn how to create the data structure for the app to rely on Google Sheets, how to test the app, distribute it and install it,  with no need of coding experience of skills. You will build a book-sharing mobile app with user sign-in functionalities, adding items, marking as favorites, creat",Beginner,,English
Build an App in Android Studio using Activities,Coursera,Coursera Project Network,Skills: kivy  Application Design  xml  xamarin  Google App Engine  Software Engineering  Android Development  project  miui  mobile app computer-science mobile-and-web-development,4.4,,https://www.coursera.org/learn/build-an-app-in-android-studio-using-activities,"In this project you will create an Android app that that uses four activities . You will begin with an Android Studio project that has an ActivityMain.java file (with nothing added to it) and an activity_main.xml file (with nothing added to it).  You will create three new activities in this project, onTouch (onTouch.java & activity_on_touch.xml), ReadReview (ReadReview.java & activity_read_review.xml), and WriteReview (WriteReview.java & activity_write_review.xml). You will have access to all of",Beginner,,English
Build an App in Android Studio using Read-Write,Coursera,Coursera Project Network,Skills: resource  arrays  saving  ordered pair  internality  reference (computer science)  Android Development  drop-down list  android studio  project computer-science mobile-and-web-development,4.7,,https://www.coursera.org/learn/build-an-app-in-android-studio-using-read-write,"In this project you will build an Android app that creates text files in internal storage when needed, will write to those files, and will read from those files.  The app will also interact with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). This app will have a piece of text (from the strings file) asking the user to select the name of an author from a spinner (a type of drop down menu where the user ",Beginner,,English
Build an App in Android Studio using Resources,Coursera,Coursera Project Network,Skills: android studio  java (software platform)  upload  project  drop-down list  Computer Programming  Android Development  download  interfaces  Java Programming computer-science mobile-and-web-development,4.6,,https://www.coursera.org/learn/build-an-app-in-android-studio-using-resources,"In this project you will build an Android app with images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). You will use the java programming language and will be given an explanation of the usefulness of using resources. In different parts of the res (resources) directory of your Android Studio project you will put images, create strings, and create a string array and all of these will be accessible for all appropriate wid",Beginner,,English
Build an App in Android Studio using Static Files,Coursera,Coursera Project Network,Skills: quotation  download  Java Programming  drop-down list  android studio  project mine  java (software platform)  project  ordered pair  upload computer-science mobile-and-web-development,4.1,,https://www.coursera.org/learn/build-an-app-in-android-studio-using-static-files,"In this project you will build an Android app with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by reference throughout the app). You will use the java programming language and will be given an explanation of the usefulness of using resources. In different parts of the res (resources) directory of your Android Studio project you will put text files, , create strings and all of these will be accessible for all appropriate widgets in y",Beginner,,English
Build an App in Android Studio using onTouch,Coursera,Coursera Project Network,Skills: drop-down list  ordered pair  Data Analysis  Booking  quotation  upload  github  Android Development  android studio  logic gate computer-science mobile-and-web-development,4.5,,https://www.coursera.org/learn/build-an-app-in-android-studio-using-ontouch,"In this project you will build an Android app that that uses onTouch functionality to show certain information when a user clicks (Action Down) on an image, and then have the information change when the user releases (Action Up). The app also creates text files in internal storage when needed, will write to those files, and will read from those files.  The app will interact with text files, images, strings, and a string array that are saved as resources in the project (can be accessed by referen",Beginner,,English
Build an E-commerce Dashboard with Figma,Coursera,Coursera Project Network,Skills: user interface design  interaction design  E-Commerce  Product Management  interfaces  Web Design  user interface  User Experience  User Experience Design  Human Computer Interaction computer-science design-and-product,4.4,,https://www.coursera.org/learn/e-commerce-dashboard-figma,"This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you�ll get instant access to a cloud desktop with Figma pre-installed.  Prerequisites: In order to be successful in this p",Beginner,,English
Build local development environments using Docker containers,Coursera,Coursera Project Network,Skills: Web Development  deployment environment  Kubernetes  Software Engineering  running  docker (software)  c++  Python Programming  web  project information-technology support-and-operations,4.6,,https://www.coursera.org/learn/build-local-development-environments-using-docker-containers,"By the end of this project, you will create two independent and replicable local development environments for two servers and make them communicate with each other, avoiding terminal hell, issues with dependencies, and automating the process of setting up a fresh setup of your projects.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,,English
Build personal resilience,Coursera,Macquarie University,Skills: thought  personal advertisement  time management  Leadership and Management  Resilience  Planning  Strategy  stress management  perception  stress business leadership-and-management,4.8,,https://www.coursera.org/learn/build-personal-resilience,"Globalisation and advances in information and communication technology have resulted in a 24/7 work environment characterised by rapid change, a greater sense of competition, and an explosion in access to communication and information. These pressures compound stress related to workload and information processing � this not only reduces performance but can lead to a reduced sense of meaning and purpose as well as physical and mental health issues. Understanding stress and how to boost your resil",Intermediate,,English
Building AI Applications with Watson APIs,Coursera,IBM,Skills: weak ai  e-nable  Python Programming  application programming interfaces  Cloud Computing  extract  Computer Programming  Average  Machine Learning  enabling data-science machine-learning,3.8,,https://www.coursera.org/learn/building-ai-applications,"A learner will be able to write an application that leverages multiple Watson AI services (Discovery, Speech to Text, Assistant, and Text to Speech). By the end of the course, they�ll learn best practices of combining Watson services, and how they can build interactive information retrieval systems with Discovery + Assistant.",Beginner,,English
Building AI Powered Chatbots Without Programming,Coursera,IBM,Skills: weak ai  Machine Learning  environment variable  wordpress  Computer Programming  word (computer architecture)  Python Programming  tree (data structure)  child  preview computer-science design-and-product,4.7,,https://www.coursera.org/learn/building-ai-powered-chatbots,"This course will teach you how to create useful chatbots without the need to write any code.  Leveraging IBM Watson's Natural Language Processing capabilities, you'll learn how to plan, implement, test, and deploy chatbots that delight your users, rather than frustrate them.  True to our promise of not requiring any code, you'll learn how to visually create chatbots with Watson Assistant (formerly Watson Conversation) and how to deploy them on your own website through a handy WordPress plugin. D",Beginner,,English
Building Arduino robots and devices,Coursera,Moscow Institute of Physics and Technology,Skills: 3D Printing  Electrical Engineering  Computer Programming  Mechanical Engineering  arduino  computer program  microcontroller  electronics  internet of things  robotics physical-science-and-engineering electrical-engineering,4.1,,https://www.coursera.org/learn/arduino,"For many years now, people have been improving their tools, studying the forces of nature and bringing them under control, using the energy of the nature to operate their machines. Last century is noted for the creation of machines which can operate other machines. Nowadays the creation of devices that interact with the physical world is available to anyone.  Our course consists of a series of practical problems on making things that work independently: they make their own decisions, act, move, ",Advanced,,English
Building Basic Relational Databases in�SQL Server Management Studio,Coursera,Coursera Project Network,Skills: running  Databases  Project Management  Leadership and Management  sql server management studio  entry point  language  php  relational database  SQL computer-science software-development,4.5,,https://www.coursera.org/learn/basic-relational-databases-sql,"In this one-hour based project you will apply the basics of working with relational databases within the SQL Server Management Studio (SSMS) environment. You will use the tools in SSMS to diagram an existing database and to create and run some SELECT and CREATE TABLE structured query language commands. You will also acquire the basic terminology that applies to all relational databases. By successfully completing the hands-on practices assigned, you will be better prepared for applying these bas",Beginner,,English
Building Batch Data Pipelines on Google Cloud,Coursera,Google Cloud Training,,4.5,1699,,,Intermediate,,English
Building Candlestick Charts with Google Sheets,Coursera,Coursera Project Network,Skills: technical analysis  trading  spreadsheet  stock market  Dividends  price action trading  software  project  stock  Data Analysis business finance,4.4,,https://www.coursera.org/learn/building-candlestick-charts-google-sheets,"In this 1-hour long project-based course, you will learn how to extract stock price data from public sources, build Japanese candlestick charts and customize them, interpret stock price charts and draw conclusions.   This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already",Beginner,,English
Building Candlestick Charts with Tableau,Coursera,Coursera Project Network,Skills: software  Chart  tableau software  Virtual Reality  simulation  Python Programming  project  trading  japanese language  stock business finance,4.3,,https://www.coursera.org/learn/building-candlestick-charts-tableau,"In this 1-hour long project-based course, you will learn how to use Python YFinance to extract stock price data and how to use Tableau to build a japanese candlestick chart.  Note: This course works best for learners who are based in the North America region. We're currently working on providing the same experience in other regions.  This course's content is not intended to be investment advice and does not constitute an offer to perform any operations in the regulated or unregulated financial m",Beginner,,English
Building Classroom Community Using Flipgrid,Coursera,Coursera Project Network,Skills: Social Media  Business  family  experience  Entrepreneurship  Experiment  teaching  Finance  project mine  parenting social-sciences education,4.9,,https://www.coursera.org/learn/classroom-flipgrid,"By the end of this project, you will be fluent in using Flipgrid to connect your students as a community and to celebrate their work. You will also learn how to connect with other teachers and other classes through activities on Flipgrid. Teaching is constantly evolving. As we learn more about our students, we uncover new ways to ensure that they are not just learning - they are thriving. When we can connect our tech-savvy students to tech-connected learning, while also providing greater visual ",Beginner,,English
Building Cloud Services with the Java Spring Framework,Coursera,Vanderbilt University,Skills: spring security  spring  dependency injection  hypertext transfer protocol  Cloud Computing  object-relational mapping  web service  Servlets  web application  spring framework computer-science mobile-and-web-development,4.1,,https://www.coursera.org/learn/cloud-services-java-spring-framework,"This MOOC describes by example how to build cloud services via the use of object-oriented design techniques; Java programming language features; Java Servlets, the Java Spring Framework; and cloud computing platforms, such as Amazon Web Services.  Due to the importance of building secure and scalable mobile/cloud platforms, this MOOC will not only show you how to build cloud services, but how to do so securely, scalably, and efficiently. Security and scalability topics will be woven into discuss",Advanced,,English
Building Containerized Applications on AWS,Coursera,Amazon Web Services,Skills: Kubernetes  microservices  docker (software)  subnetwork  command-line interface  node.js  macro (computer science)  service discovery  virtual machine  Operating Systems information-technology cloud-computing,4.0,,https://www.coursera.org/learn/containerized-apps-on-aws,"This course introduces you to container technologies and how they can be used to modernize your applications, as well as exploring how different AWS services can be used to manage and orchestrate those containers.  Container technologies have existed for years, and are still gaining popularity. Two of the most prevalent options are Docker and Kubernetes - each with its own distinct set of features. Regardless of which technology you choose, one of the biggest challenges with containers is their ",Beginner,,English
Building Conversational Experiences with Dialogflow,Coursera,Google Cloud,Skills: Experiment  Google App Engine  natural language  Cloud Computing  Google Cloud Platform  Natural Language Processing  Cloud Platforms  dialog system  language  basic access authentication computer-science software-development,4.3,,https://www.coursera.org/learn/conversational-experiences-dialogflow,"This course provides a deep dive into how to create a chatbot using Dialogflow, augment it with Cloud Natural Language API, and operationalize it using Google Cloud tools.  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",Intermediate,,English
Building Custom Regional Reports with Google Analytics,Coursera,Coursera Project Network,Skills: Leadership and Management  Data Analysis  Marketing  Artificial Neural Networks  leadership  schedule  Writing  google analytics  Market Analysis  analytics business marketing,4.6,,https://www.coursera.org/learn/building-custom-regional-reports-with-google-analytics,"In this 2 hours project you will learn how to build custom regional reports with Google Analytics. You will familiarize with Google Analytics and its usage, create a marketing custom regional dashboard with table and graph widgets, customize a standard geo report and scheduled the report you have designed to be sent monthly via email to a distributed regional marketing team.",Beginner,,English
Building Data Visualization Tools,Coursera,Johns Hopkins University,Skills: Scatter Plot  graphical model  R Programming  Map  Data Visualization  interactivity  ggplot2  Mapping  Computer Graphics  euler's totient function data-science data-analysis,3.8,,https://www.coursera.org/learn/r-data-visualization,"The data science revolution has produced reams of new data from a wide variety of new sources. These new datasets are being used to answer new questions in way never before conceived. Visualization remains one of the most powerful ways draw conclusions from data, but the influx of new data types requires the development of new visualization techniques and building blocks. This course provides you with the skills for creating those new visualization building blocks. We focus on the ggplot2 framew",Beginner,,English
Building Deep Learning Models with TensorFlow,Coursera,IBM,Skills: Machine Learning  convolution  PyTorch  Artificial Neural Networks  recurrent neural network  unsupervised learning  Human Learning  Deep Learning  Tensorflow  Autoencoder data-science machine-learning,4.1,,https://www.coursera.org/learn/building-deep-learning-models-with-tensorflow,"The majority of data in the world is unlabeled and unstructured. Shallow neural networks cannot easily capture relevant structure in, for instance, images, sound, and textual data. Deep networks are capable of discovering hidden structures within this type of data. In this course you�ll use TensorFlow library to apply deep learning to different data types in order to solve real world problems. Learning Outcomes: After completing this course, learners will be able to: �\texplain foundational Tens",Beginner,,English
Building Digital Media using Graphic Design in Google Slides,Coursera,Coursera Project Network,Skills: Communication  Computer Graphics  Cancer  Mathematics  adobe indesign  web  relative change and difference  c dynamic memory allocation  Graphic Design  project computer-science design-and-product,4.5,,https://www.coursera.org/learn/digital-media-with-graphic-design,"By the end of this 1 hour-long guided project, you will create a flier for a networking event using graphic design best practices. This course will walk you through the basics of working on a graphic design project. It begins with determining the approach for the project including understanding your audience. From there we will move onto typography where we will select the most appropriate typeface. We will also discuss using imagery such as photos and clip art. Next, we will explore some basics",Beginner,,English
Building Fintech Startups in Emerging Markets,Coursera,University of Cape Town,"Skills: Business Development, Entrepreneurship, FinTech",4.7,4.7(30 reviews),,,,,English
Building Interactive 3D Characters and Social VR,Coursera,University of London,Skills: everyday life  interactivity  computer facial animation  computer animation  Virtual Reality  skeletal animation  motion capture  blushing  facial expression  experience computer-science design-and-product,4.2,,https://www.coursera.org/learn/interactive-3d-characters-social-virtual-reality,"Meeting another person is one of the most amazing experiences you can have in Virtual Reality. It is quite unlike communicating through any other medium except a real life face-to-face conversation. Because the other person is life size and shares a virtual space with you, body language works in a way that cannot be done on a flat screen. This course will enable you to create realistic social interactions in VR.   You will learn about both the psychology of social interaction and the practical s",Advanced,,English
